Patient,Lag,Model,MSE,RMSE,Avg Corr
sub2,36,Hist Gradient Boosting,0.49160125653371367,0.7011428217800661,0.7670563264178721
sub2,36,LightGBM,0.541900646266644,0.7361390128682517,0.7273090511074136
sub2,36,CatBoost,0.6758570338922402,0.8221052450217309,0.640942901521083
sub2,36,Ridge Regression,0.9665516486767032,0.9831335863842223,0.20989321663410454
sub2,38,XGBoost,0.4225258810576541,0.6500199082010135,0.7991728660889494
sub2,38,Hist Gradient Boosting,0.4865081776520926,0.6975013818280883,0.7690790409394849
sub2,38,LightGBM,0.5397195435227727,0.7346560715891299,0.7288459016113101
sub2,38,CatBoost,0.6746052426467946,0.8213435594480513,0.6415286709737116
sub2,38,Ridge Regression,0.9653966608311968,0.9825460095238272,0.21116678061788202
sub2,40,XGBoost,0.4203974405894105,0.6483806294063776,0.8012962411103288
sub2,40,Hist Gradient Boosting,0.4895613355970652,0.6996865981259504,0.7671788978262987
sub2,40,LightGBM,0.5417678498201434,0.7360488094006696,0.7280445696797104
sub2,40,CatBoost,0.6767964024058115,0.8226763655325291,0.6402129372191008
sub2,40,Ridge Regression,0.966327060284156,0.9830193590586892,0.21077625107593762
sub2,42,XGBoost,0.41714131941805466,0.6458647841600087,0.8040831940263228
sub2,42,Hist Gradient Boosting,0.48582124009703237,0.6970087805021056,0.7717992011143853
sub2,42,LightGBM,0.5406365162829171,0.7352798897582588,0.7294011609925717
sub2,42,CatBoost,0.6763519237034206,0.8224061792711802,0.6421819347257084
sub2,42,Ridge Regression,0.9665564994306507,0.9831360533673102,0.21224325041607273
sub2,44,XGBoost,0.4215654778130329,0.6492807388279995,0.8004219680806386
sub2,44,Hist Gradient Boosting,0.4865877940654161,0.6975584520779718,0.7700428171588273
sub2,44,LightGBM,0.5391560603545743,0.7342724701053243,0.7295844119901704
sub2,44,CatBoost,0.6734690819381204,0.8206516203226071,0.6418656584008753
sub2,44,Ridge Regression,0.9644550657014171,0.9820667317964789,0.2118168886890918
sub2,46,XGBoost,0.42322886590945696,0.6505604244875774,0.797740155401389
sub2,46,Hist Gradient Boosting,0.49062087748361377,0.7004433435215255,0.7640370332298724
sub2,46,LightGBM,0.5407265343947569,0.7353411007109265,0.7241400621697097
sub2,46,CatBoost,0.6712792165694487,0.8193163104500292,0.6403237051001143
sub2,46,Ridge Regression,0.9600324490038528,0.9798124560362829,0.2148576545201379
sub2,48,XGBoost,0.41827421576901164,0.6467412278253271,0.8014323876317251
sub2,48,Hist Gradient Boosting,0.4865693745071691,0.6975452490750468,0.7673732264156989
sub2,48,LightGBM,0.5373842265725038,0.7330649538564122,0.728521390865043
sub2,48,CatBoost,0.6703575417662091,0.818753651452138,0.640970511668564
sub2,48,Ridge Regression,0.9600267137137759,0.979809529303413,0.21611642017120308
sub2,50,XGBoost,0.41531967233646194,0.6444530024264469,0.8037509636727188
sub2,50,Hist Gradient Boosting,0.4806723296252349,0.6933053653515419,0.7734118879767321
sub2,50,LightGBM,0.5350572460300307,0.7314760734501373,0.7312136686884577
sub2,50,CatBoost,0.6705598039699271,0.8188771604886335,0.6437802826574258
sub2,50,Ridge Regression,0.9614163645731513,0.9805184162335511,0.21704025290173973
sub3,30,XGBoost,0.5930026533337889,0.7700666551239502,0.7190405032164783
sub3,30,Hist Gradient Boosting,0.6898181841303913,0.8305529387886068,0.6408610940076768
sub3,30,LightGBM,0.7088795116799755,0.84194982729375,0.6281791874260332
sub3,30,CatBoost,0.8031528112440997,0.8961879329940231,0.5506763116419322
sub3,30,Ridge Regression,0.9932942440294614,0.9966414821938034,0.2946232339679698
sub3,32,XGBoost,0.5933766078945754,0.7703094234751223,0.719527949779045
sub3,32,Hist Gradient Boosting,0.6902357481015886,0.8308042778546513,0.6421774081061862
sub3,32,LightGBM,0.709534410857797,0.8423386556829723,0.6285488605388065
sub3,32,CatBoost,0.804631608806317,0.8970126023676128,0.55037088607447
sub3,32,Ridge Regression,0.9942926197908604,0.997142226460629,0.2955694312421371
sub3,34,XGBoost,0.5916235726854016,0.7691707045158451,0.7204633915866097
sub3,34,Hist Gradient Boosting,0.6893307411852552,0.8302594420934069,0.6425597232129764
sub3,34,LightGBM,0.7079526097610469,0.8413991976232488,0.6298666216529204
sub3,34,CatBoost,0.8038292336396582,0.8965652422660931,0.5516986546488725
sub3,34,Ridge Regression,0.9945095082884711,0.9972509755765953,0.29648507862599244
sub3,36,XGBoost,0.5918374735470545,0.7693097383674891,0.7186143974305896
sub3,36,Hist Gradient Boosting,0.6885124773246207,0.8297665197660248,0.6416196766261107
sub3,36,LightGBM,0.7058714880660075,0.8401615844978914,0.6294268398447938
sub3,36,CatBoost,0.8017235334432324,0.8953901571065166,0.5505465245391574
sub3,36,Ridge Regression,0.991801356097481,0.9958922412075922,0.29518175844449984
sub3,38,XGBoost,0.5912282148672411,0.7689136589157726,0.7187726445252866
sub3,38,Hist Gradient Boosting,0.6872870333087531,0.8290277638950055,0.6421586952117451
sub3,38,LightGBM,0.7067510991694621,0.8406848988589376,0.6284265352346137
sub3,38,CatBoost,0.8017165411665272,0.8953862525002979,0.5502499243489868
sub3,38,Ridge Regression,0.9918298122306112,0.9959065278582178,0.2953994569831985
